scenario,age,v.eff,risk,pop.size,cost.diff,cases,cases.per100k,cases.averted,cases.averted.per100k,icer.case.averted,deaths,deaths.per100k,deaths.averted,deaths.averted.per100k,icer.death.averted,dalys,dalys.per100k,dalys.averted,dalys.averted.per100k,icer.daly.averted
vax7778,5-19 yrs,30,All,639661,na,na,na,na,na,427.03,na,na,na,na,784465.22,na,na,na,na,11320.30
vax7778,20-64 yrs,30,High,321847.06,na,na,na,na,na,2226.77,na,na,na,na,172406.20,na,na,na,na,4423.42
vax7778,20-64 yrs,30,Non-high,1913201.94,na,na,na,na,na,267.09,na,na,na,na,882444.30,na,na,na,na,20945.00
vax7778,20-64 yrs,30,All,2235049,na,na,na,na,na,549.29,na,na,na,na,259223.48,na,na,na,na,6585.70
vax7778,65+ yrs,30,High,157981.7,na,na,na,na,na,4982.39,na,na,na,na,189288.50,na,na,na,na,13202.63
vax7778,65+ yrs,30,Non-high,150576.3,na,na,na,na,na,598.47,na,na,na,na,173130.10,na,na,na,na,11872.01
vax7778,65+ yrs,30,All,308558,na,na,na,na,na,2843.04,na,na,na,na,187490.97,na,na,na,na,13052.35
vax7778,All,30,High,535077.97,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
vax7778,All,30,Non-high,2871798.03,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
vax7778,All,30,All,3406876,na,na,na,na,na,597.82,na,na,na,na,287185.16,na,na,na,na,8471.00
vax7778,0-4 yrs,40,High,14310.91,na,na,na,na,na,1400.95,na,na,na,na,215322.60,na,na,na,na,2776.60
vax7778,0-4 yrs,40,Non-high,209297.09,na,na,na,na,na,172.94,na,na,na,na,1274082.00,na,na,na,na,15058.62
vax7778,0-4 yrs,40,All,223608,na,na,na,na,na,251.53,na,na,na,na,462843.17,na,na,na,na,5844.03
vax7778,5-19 yrs,40,High,40938.3,na,na,na,na,na,2955.17,na,na,na,na,453331.80,na,na,na,na,6701.10
vax7778,5-19 yrs,40,Non-high,598722.7,na,na,na,na,na,271.46,na,na,na,na,1998303.00,na,na,na,na,26750.88
vax7778,5-19 yrs,40,All,639661,na,na,na,na,na,443.22,na,na,na,na,814209.04,na,na,na,na,11749.54
vax7778,20-64 yrs,40,High,321847.06,na,na,na,na,na,2266.67,na,na,na,na,175495.10,na,na,na,na,4502.68
vax7778,20-64 yrs,40,Non-high,1913201.94,na,na,na,na,na,306.99,na,na,na,na,1014253.00,na,na,na,na,24073.51
vax7778,20-64 yrs,40,All,2235049,na,na,na,na,na,589.18,na,na,na,na,278051.06,na,na,na,na,7064.02
vax7778,65+ yrs,40,High,157981.7,na,na,na,na,na,5047.74,na,na,na,na,191771.00,na,na,na,na,13375.79
vax7778,65+ yrs,40,Non-high,150576.3,na,na,na,na,na,663.81,na,na,na,na,192033.20,na,na,na,na,13168.27
vax7778,65+ yrs,40,All,308558,na,na,na,na,na,2908.38,na,na,na,na,191800.17,na,na,na,na,13352.35
vax7778,All,40,High,535077.97,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
